Customer_ID,Name,City,State,Region,Email,Subscription_Type,Service_Tier,Monthly_Bill,Monthly_Revenue,Bill_Category,Payment_Status,Payment_Risk_Score,Payment_Days_Overdue,Customer_Tenure_Years,Join_Date,Contract_Renewal_Risk,Auto_Pay_Enabled,Paperless_Billing,Total_Tickets,Avg_Resolution_Time,Critical_Escalations,Avg_Satisfaction,FCR_Rate,Avg_Signal_Strength,Service_Health_Score,Churn_Risk,Calculated_Churn_Risk,Customer_Lifetime_Value,LTV_Index,Loyalty_Points,Loyalty_Index,Number_Of_Devices,Device_Adoption_Score,Age_Group,Employment_Status,Revenue_Health,Customer_Segment
5887,Megan Lopez,Tylermouth,NEW MEXICO,Northeast,joshuaanderson@example.org,America'S Top 250,Basic,142.07,1704.84,Medium,Overdue,2,1,1.919233401779603,2024-04-11,Stable,True,True,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,14916.45,99,28198,49,1,12,46-55,Employed,Optimal,Growth_Opportunity
8579,Jennifer Mata,Kaitlynport,OREGON,Midwest,kaylahall@example.net,Sling Blue,Premium,148.55,1782.6000000000001,Medium,Disputed,50,1,4.621492128678987,2021-07-29,At Risk,True,False,2.0,66.5,0.0,3.1500000000000004,0.0,-66.0,79,Low,Low,5427.56,33,37032,81,7,87,65+,Unemployed,Optimal,Standard
4890,Jennifer Robinson,South Nicole,NEVADA,Northeast,emcneil@example.net,America'S Top 200,Premium,159.97,1919.6399999999999,High,Pending,30,1,3.4469541409993156,2022-10-01,Stable,False,False,1.0,58.0,0.0,3.8,1.0,-33.0,87,High,Low,4713.24,29,18564,49,5,62,65+,Self-Employed,Optimal,VIP_Advocates
3639,Lisa Hayes,West Christopher,WYOMING,West,amy11@example.org,Sling Orange,Vip,138.12,1657.44,Medium,Overdue,2,1,3.4387405886379194,2022-10-04,Stable,True,False,0.0,0.0,0.0,0.0,0.0,0.0,60,Medium,Medium,6612.26,42,36696,71,7,87,18-25,Self-Employed,Optimal,Standard
5083,Luke Frey,Perryborough,NORTH DAKOTA,Midwest,alisondouglas@example.net,Spanish Premium,Vip,117.32,1407.84,Medium,Overdue,2,1,2.9842573579739904,2023-03-19,Stable,True,False,2.0,36.0,2.0,3.2,1.0,-45.5,79,Low,Low,7381.69,47,30968,61,6,75,56-65,Student,Optimal,Standard
7935,Chelsea Barnes,East Elizabeth,ALASKA,West,patricia15@example.net,Sling Orange,Basic,92.62,1111.44,Medium,Disputed,50,1,2.324435318275154,2023-11-15,Stable,True,True,0.0,0.0,0.0,0.0,0.0,0.0,60,Medium,Medium,5947.92,37,2216,21,8,100,36-45,Self-Employed,Undermonetized,Standard
9151,Robert Garcia,West Sarastad,NEBRASKA,South,lewismegan@example.net,Sling Blue,Standard,64.43,773.1600000000001,Low,Paid,10,1,0.7994524298425736,2025-05-25,Stable,False,False,2.0,7.5,0.0,3.0,1.0,-76.0,78,Medium,Low,9320.53,60,24237,35,5,62,26-35,Unemployed,Undermonetized,Growth_Opportunity
5827,Tara Hale,Dennisville,MICHIGAN,West,hallkaren@example.net,Sling Orange,Standard,174.09,2089.08,High,Overdue,2,1,2.7926078028747434,2023-05-28,Stable,True,True,1.0,3.0,1.0,4.4,1.0,-65.002471395881,92,Medium,Low,507.39,0,41810,72,8,100,65+,Unemployed,Optimal,VIP_Advocates
8243,Michael Cooper,Elizabethburgh,TEXAS,Southwest,mackbenjamin@example.net,Sling Orange,Basic,76.75,921.0,Low,Pending,30,1,0.0027378507871321013,2026-03-12,Stable,False,False,0.0,0.0,0.0,0.0,0.0,0.0,60,Medium,Medium,12848.33,85,43402,52,2,25,18-25,Unemployed,Undermonetized,Growth_Opportunity
10608,Jeremiah Harvey,Laramouth,MISSOURI,Southwest,hawkinstimothy@example.net,America'S Top 120,Premium,180.99,2171.88,High,Overdue,2,1,0.5995893223819302,2025-08-06,Stable,False,True,2.0,21.0,1.0,3.05,1.0,-54.5,78,High,Low,12791.16,84,1356,6,5,62,26-35,Student,Premium,Growth_Opportunity
3930,Willie Gonzalez,Ericbury,COLORADO,Midwest,melissataylor@example.com,Sling Blue,Basic,189.85,2278.2,High,Disputed,50,1,4.544832306639288,2021-08-26,Stable,False,False,0.0,0.0,0.0,0.0,0.0,0.0,60,Medium,Medium,2544.72,14,31096,73,4,50,56-65,Retired,Premium,Standard
6115,Christina Hanson,North Matthewfort,ALABAMA,Southwest,kwhite@example.org,Sling Orange,Vip,169.24,2030.88,High,Pending,30,1,1.9383983572895278,2024-04-04,Stable,False,True,1.0,56.0,1.0,3.1,0.0,-48.0,81,Low,Low,10967.47,72,13715,31,1,12,36-45,Employed,Optimal,VIP_Advocates
4567,Kevin Dixon,Austinville,TENNESSEE,West,jameswhite@example.net,America'S Top 120,Premium,169.98,2039.7599999999998,High,Disputed,50,1,4.97741273100616,2021-03-21,Stable,False,True,3.0,20.333333333333332,1.0,3.5666666666666664,0.6666666666666666,-84.33333333333333,79,Medium,Low,2994.32,17,38514,86,6,75,56-65,Student,Optimal,Standard
12051,Jennifer Donaldson,Hinesfurt,MARYLAND,Midwest,katherine03@example.org,Sling Orange,Vip,148.55,1782.6000000000001,Medium,Paid,10,1,4.725530458590007,2021-06-21,Stable,True,False,0.0,0.0,0.0,0.0,0.0,0.0,60,Low,Medium,14913.01,99,18355,59,2,25,26-35,Unemployed,Optimal,Growth_Opportunity
5824,Eileen Rodriguez,South Larryborough,ARIZONA,Midwest,wcross@example.org,Spanish Premium,Basic,174.41,2092.92,High,Overdue,2,1,3.542778918548939,2022-08-27,Stable,False,False,4.0,29.25,2.0,2.7750000000000004,0.5,-57.75,70,High,Low,13025.93,86,48574,86,2,25,18-25,Student,Optimal,Growth_Opportunity
2406,Kristen Soto,Natalieland,IOWA,Northwest,ibradshaw@example.org,Sling Blue,Basic,210.38,2524.56,High,Overdue,2,1,3.463381245722108,2022-09-25,Stable,False,False,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,2517.34,13,48460,85,4,50,65+,Student,Premium,Standard
8119,Daniel Garcia,Jeffreyhaven,MICHIGAN,Southwest,erica42@example.com,America'S Top 120,Premium,135.48,1625.7599999999998,Medium,Pending,30,1,0.0,2026-03-13,Stable,True,False,1.0,7.0,0.0,4.2,0.0,-65.002471395881,90,Medium,Low,11424.87,75,42579,51,3,37,26-35,Self-Employed,Optimal,VIP_Advocates
3833,Patricia Scott,Lake Jonathanhaven,NEW JERSEY,Midwest,floresjoshua@example.com,America'S Top 500,Standard,167.45,2009.3999999999999,High,Disputed,50,1,4.884325804243669,2021-04-24,Expiring Soon,True,True,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,10761.64,70,17607,60,5,62,18-25,Student,Optimal,Growth_Opportunity
1577,James Jones,New Stephaniemouth,COLORADO,Northwest,hollandmalik@example.org,America'S Top 500,Premium,178.2,2138.3999999999996,High,Paid,10,1,2.220396988364134,2023-12-23,Stable,True,False,1.0,46.0,0.0,3.8,1.0,-47.0,87,High,Low,10486.16,68,24695,47,5,62,18-25,Self-Employed,Optimal,VIP_Advocates
1518,Shawn Lawson,Emilyfort,ILLINOIS,Midwest,hendersonnicole@example.com,Spanish Premium,Standard,52.65,631.8,Low,Overdue,2,1,2.105407255304586,2024-02-03,Stable,False,False,1.0,1.0,0.0,1.2,1.0,-52.0,66,Low,Medium,1956.12,10,18176,38,3,37,56-65,Student,Undermonetized,Standard
9495,Paul Cline,West Michaelstad,MINNESOTA,South,schaeferbenjamin@example.net,America'S Top 120,Standard,197.78,2373.36,High,Overdue,2,1,0.5284052019164955,2025-09-01,At Risk,True,True,0.0,0.0,0.0,0.0,0.0,0.0,60,Medium,Medium,8520.25,55,19871,28,8,100,65+,Employed,Premium,Growth_Opportunity
7734,Mrs. Lisa Patterson,West Bobbystad,GEORGIA,Northeast,barnestiffany@example.org,Sling Orange,Vip,120.4,1444.8000000000002,Medium,Disputed,50,1,4.1971252566735116,2021-12-31,Stable,True,True,0.0,0.0,0.0,0.0,0.0,0.0,60,Low,Medium,2855.61,16,38584,79,4,50,36-45,Employed,Optimal,Standard
3167,Wesley Leach,Jonesview,TEXAS,Midwest,kevinadams@example.org,America'S Top 250,Standard,141.13,1693.56,Medium,Overdue,2,1,3.060917180013689,2023-02-19,At Risk,False,True,0.0,0.0,0.0,0.0,0.0,0.0,60,Low,Medium,5030.03,31,26708,56,1,12,26-35,Self-Employed,Optimal,Standard
11264,Stephanie Hernandez,Russellshire,NEVADA,West,claudiaortiz@example.org,America'S Top 500,Premium,80.34,964.08,Medium,Disputed,50,1,4.596851471594798,2021-08-07,Stable,False,True,3.0,24.333333333333332,0.0,2.9333333333333336,0.6666666666666666,-62.0,74,Medium,Low,2490.04,13,3392,40,1,12,65+,Employed,Undermonetized,Standard
4452,Luis Lane,Cervantesfort,OKLAHOMA,Northwest,brittanycarpenter@example.com,America'S Top 120,Standard,126.41,1516.92,Medium,Paid,10,1,4.101300479123887,2022-02-04,Stable,False,True,1.0,10.0,0.0,1.1,1.0,-84.0,65,High,Medium,14654.44,97,153,32,7,87,36-45,Employed,Optimal,Growth_Opportunity
9598,Mrs. Paige Torres,South Shelly,COLORADO,West,lori76@example.net,Sling Blue,Premium,112.88,1354.56,Medium,Paid,10,1,0.4243668720054757,2025-10-09,Stable,False,True,2.0,22.5,1.0,4.25,1.0,-69.0012356979405,88,Medium,Low,10510.23,69,9820,15,7,87,36-45,Unemployed,Optimal,VIP_Advocates
3198,Mary Rice,South Ashley,SOUTH DAKOTA,Midwest,kathleen76@example.net,Sling Blue,Vip,151.39,1816.6799999999998,High,Disputed,50,1,4.498288843258043,2021-09-12,Stable,False,False,2.0,21.5,1.0,3.35,0.0,-68.5,80,Medium,Low,14465.57,96,9848,47,8,100,46-55,Unemployed,Optimal,VIP_Advocates
9021,Jonathan Lloyd,Martinmouth,NORTH CAROLINA,Midwest,aprildavidson@example.org,America'S Top 120,Premium,192.43,2309.16,High,Disputed,50,1,4.91170431211499,2021-04-14,Stable,False,True,1.0,72.0,1.0,1.0,0.0,-91.0,65,High,Medium,3987.07,24,23330,67,3,37,46-55,Retired,Premium,Standard
4475,Douglas Suarez,Nicolechester,SOUTH DAKOTA,Northwest,sarahortiz@example.com,America'S Top 250,Premium,82.78,993.36,Medium,Paid,10,1,4.6242299794661195,2021-07-28,Stable,True,False,0.0,0.0,0.0,0.0,0.0,0.0,60,Low,Medium,631.22,0,26970,69,5,62,46-55,Unemployed,Undermonetized,Standard
7555,Thomas Mills,Rodriguezmouth,OREGON,South,sanderstravis@example.org,America'S Top 120,Vip,223.88,2686.56,High,Disputed,50,1,3.0663928815879533,2023-02-17,Expiring Soon,False,True,0.0,0.0,0.0,0.0,0.0,0.0,60,Medium,Medium,577.96,0,23434,52,7,87,56-65,Retired,Premium,Standard
9664,Mark Miller,West Seanfurt,MONTANA,South,johnsonchad@example.com,America'S Top 120,Standard,148.55,1782.6000000000001,Medium,Overdue,2,1,4.268309377138946,2021-12-05,Stable,False,True,4.0,26.25,1.0,2.25,0.25,-58.50061784897025,66,Medium,Medium,8296.66,53,14922,52,7,87,46-55,Unemployed,Optimal,Growth_Opportunity
9423,Darius Medina,Catherineside,OREGON,Northeast,mmiranda@example.net,America'S Top 200,Premium,241.21,2894.52,High,Overdue,2,1,3.260780287474333,2022-12-08,Stable,False,True,0.0,0.0,0.0,0.0,0.0,0.0,60,Medium,Medium,7128.38,45,39514,73,3,37,65+,Student,Premium,Standard
1295,Angela Velasquez,East Carlabury,NORTH DAKOTA,Midwest,natasha65@example.com,Sling Blue,Vip,133.42,1601.04,Medium,Paid,10,1,0.0,2026-03-13,Stable,False,False,2.0,41.0,1.0,2.75,0.5,-57.0,76,Low,Low,6508.12,41,3353,4,6,75,36-45,Student,Optimal,Standard
11108,Maurice Erickson,Edwardchester,MINNESOTA,Midwest,xstevens@example.com,Sling Blue,Basic,222.9,2674.8,High,Disputed,50,1,4.372347707049966,2021-10-28,Stable,True,False,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,1758.7,8,1084,36,1,12,46-55,Self-Employed,Premium,Standard
2463,Jimmy Lowe,North Jeremy,DELAWARE,South,leslie39@example.net,Spanish Premium,Vip,199.13,2389.56,High,Disputed,50,1,4.060232717316906,2022-02-19,At Risk,True,False,3.0,53.666666666666664,3.0,3.9666666666666663,0.6666666666666666,-79.66666666666667,82,High,Low,10754.72,70,40865,81,3,37,56-65,Self-Employed,Premium,VIP_Advocates
1289,Dawn Cruz,East Jennifertown,MONTANA,South,amywhite@example.com,America'S Top 500,Standard,139.89,1678.6799999999998,Medium,Disputed,50,1,4.427104722792608,2021-10-08,Stable,True,False,1.0,45.0,1.0,4.7,0.0,-52.0,94,Medium,Low,6088.9,38,8623,45,1,12,65+,Retired,Optimal,VIP_Advocates
8768,Johnny Williams,Lake Ernest,MAINE,West,krobertson@example.org,America'S Top 120,Basic,148.94,1787.28,Medium,Paid,10,1,3.9288158795345653,2022-04-08,Stable,True,True,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,4563.41,28,7561,40,4,50,65+,Employed,Optimal,Standard
7771,Francis Oconnor,North Robert,IDAHO,Northeast,bartlettkristin@example.org,America'S Top 200,Premium,127.62,1531.44,Medium,Pending,30,1,1.1909650924024642,2025-01-02,Stable,True,True,0.0,0.0,0.0,0.0,0.0,0.0,60,Low,Medium,8734.7,56,25546,40,8,100,26-35,Unemployed,Optimal,Growth_Opportunity
1567,Patrick Thomas,Victoriaview,INDIANA,Northeast,jcox@example.com,Sling Orange,Basic,107.32,1287.84,Medium,Pending,30,1,4.057494866529774,2022-02-20,Stable,False,True,0.0,0.0,0.0,0.0,0.0,0.0,60,Medium,Medium,3012.45,17,5719,39,8,100,56-65,Unemployed,Optimal,Standard
9247,Joseph Mendez,North David,UTAH,Midwest,waterssean@example.org,Spanish Premium,Basic,170.85,2050.2,High,Overdue,2,1,3.7125256673511293,2022-06-26,Stable,False,False,1.0,22.0,0.0,3.5,1.0,-65.002471395881,85,Low,Low,7342.8,47,18970,52,6,75,46-55,Student,Optimal,VIP_Advocates
2395,Veronica Dalton,Mcgeeshire,RHODE ISLAND,Southwest,margaretthompson@example.com,Spanish Premium,Standard,224.48,2693.7599999999998,High,Pending,30,1,2.16290212183436,2024-01-13,Stable,True,False,1.0,32.0,1.0,1.7,1.0,-97.0,70,Low,Low,12155.19,80,13527,33,3,37,65+,Retired,Premium,Growth_Opportunity
8285,Jeffrey Lamb,Sheilamouth,SOUTH DAKOTA,West,stuartharris@example.org,Sling Orange,Vip,143.14,1717.6799999999998,Medium,Disputed,50,1,0.024640657084188913,2026-03-04,Expiring Soon,True,False,2.0,65.0,0.0,1.5,0.5,-56.0,66,High,Medium,14316.44,95,8938,10,3,37,65+,Student,Optimal,Growth_Opportunity
12480,Christopher Cummings,Port Joshuaton,NEVADA,Midwest,michelle82@example.com,America'S Top 500,Standard,126.73,1520.76,Medium,Paid,10,1,4.785763175906913,2021-05-30,At Risk,False,False,0.0,0.0,0.0,0.0,0.0,0.0,60,Low,Medium,4506.03,27,42717,89,4,50,36-45,Self-Employed,Optimal,Standard
8971,Penny Garcia,Lake Melanie,VERMONT,South,gwilliams@example.com,Sling Blue,Standard,222.16,2665.92,High,Overdue,2,1,0.7282683093771389,2025-06-20,Stable,False,True,2.0,30.5,1.0,2.45,0.5,-55.0,73,Medium,Low,6724.86,42,34815,47,6,75,18-25,Employed,Premium,Standard
2266,Shane Gilbert,Elizabethchester,WYOMING,Northwest,tammykim@example.org,America'S Top 250,Vip,233.67,2804.04,High,Overdue,2,1,4.941820670773443,2021-04-03,Stable,True,False,1.0,56.0,1.0,3.3,0.0,-46.0,83,Medium,Low,14944.76,99,438,40,2,25,26-35,Retired,Premium,VIP_Advocates
2202,Henry Austin,Monicachester,VIRGINIA,South,tyler40@example.com,America'S Top 200,Basic,91.63,1099.56,Medium,Pending,30,1,4.413415468856948,2021-10-13,Stable,False,True,2.0,37.5,0.0,3.05,1.0,-67.5,78,Low,Low,10823.39,71,38781,81,3,37,36-45,Retired,Undermonetized,Growth_Opportunity
1798,Carrie Howell,Lake Sherry,NEW YORK,South,troygarcia@example.com,Sling Orange,Vip,178.75,2145.0,High,Disputed,50,1,2.757015742642026,2023-06-10,Stable,True,True,3.0,33.0,1.0,2.4,0.6666666666666666,-82.66666666666667,70,Medium,Low,7416.49,47,14152,39,2,25,36-45,Student,Optimal,Standard
5337,Jeff Perkins,New Natashaside,WEST VIRGINIA,Northwest,carl52@example.org,America'S Top 120,Basic,245.4,2944.8,High,Pending,30,1,4.331279945242985,2021-11-12,Stable,True,True,1.0,70.0,1.0,3.5,0.0,-91.0,85,Medium,Low,13012.95,86,33925,75,1,12,36-45,Student,Premium,VIP_Advocates
1240,Raymond Sanchez,New Alan,NEW MEXICO,South,aguilarrenee@example.com,America'S Top 500,Basic,183.24,2198.88,High,Overdue,2,1,1.9904175222450375,2024-03-16,Stable,True,False,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,11906.31,78,41420,65,6,75,18-25,Self-Employed,Premium,Growth_Opportunity
6772,Daniel Howard,Lake Deniseview,CONNECTICUT,Midwest,wilsonrichard@example.com,Sling Blue,Standard,245.08,2940.96,High,Pending,30,1,0.0,2026-03-13,Stable,False,True,1.0,35.0,0.0,4.9,0.0,-60.0,96,Medium,Low,5433.72,34,6305,7,8,100,18-25,Unemployed,Premium,VIP_Advocates
2186,Lauren Morton,East Sean,CALIFORNIA,Midwest,wnunez@example.com,America'S Top 120,Premium,221.89,2662.68,High,Paid,10,1,3.5044490075290895,2022-09-10,Stable,False,False,3.0,33.333333333333336,0.0,2.9,0.3333333333333333,-64.66666666666667,74,Medium,Low,937.42,3,21296,53,7,87,65+,Student,Premium,Standard
11345,Joshua Barnett,Transtad,WEST VIRGINIA,West,moralespatricia@example.com,America'S Top 250,Basic,141.71,1700.52,Medium,Disputed,50,1,4.810403832991102,2021-05-21,Stable,False,True,0.0,0.0,0.0,0.0,0.0,0.0,60,High,Medium,6447.53,41,7158,47,8,100,26-35,Unemployed,Optimal,Standard
4514,Randy Curtis,Ayersside,COLORADO,Southwest,hatkins@example.com,America'S Top 250,Basic,155.43,1865.16,High,Pending,30,1,3.34839151266256,2022-11-06,Stable,False,False,2.0,41.5,2.0,2.25,0.0,-81.5,72,Low,Low,9309.75,60,7628,35,5,62,65+,Student,Optimal,Growth_Opportunity
